country,currency_name,continent,neighbours,timestamp
Pakistan,Rupee,AS,"China, Afghanistan, Iran, India",2024-08-31 15:48:50
Palau,Dollar,OC,,2024-08-31 15:48:50
Palestinian Territory,Shekel,AS,"Jordan, Israel",2024-08-31 15:48:51
Panama,Balboa,NA,"Costa Rica, Colombia",2024-08-31 15:48:51
Papua New Guinea,Kina,OC,Indonesia,2024-08-31 15:48:51
Paraguay,Guarani,SA,"Bolivia, Brazil, Argentina",2024-08-31 15:48:51
Peru,Sol,SA,"Ecuador, Chile, Bolivia, Brazil, Colombia",2024-08-31 15:48:52
Philippines,Peso,AS,,2024-08-31 15:48:52
Pitcairn,Dollar,OC,,2024-08-31 15:48:52
Poland,Zloty,EU,"Germany, Lithuania, Slovakia, Czech Republic, Belarus, Ukraine, Russia",2024-08-31 15:48:52
Portugal,Euro,EU,Spain,2024-08-31 15:48:53
Puerto Rico,Dollar,NA,,2024-08-31 15:48:53
Qatar,Rial,AS,Saudi Arabia,2024-08-31 15:48:53
Republic of the Congo,Franc,AF,"Central African Republic, Gabon, Democratic Republic of the Congo, Cameroon, Angola",2024-08-31 15:48:53
Reunion,Euro,AF,,2024-08-31 15:48:53
Romania,Leu,EU,"Moldova, Hungary, Ukraine, Serbia and Montenegro, Bulgaria, Serbia",2024-08-31 15:48:54
Russia,Ruble,EU,"Georgia, China, Belarus, Ukraine, Kazakhstan, Latvia, Poland, Estonia, Lithuania, Finland, Mongolia, Norway, Azerbaijan, North Korea",2024-08-31 15:48:55
Rwanda,Franc,AF,"Tanzania, Democratic Republic of the Congo, Burundi, Uganda",2024-08-31 15:48:55
Saint Barthelemy,Euro,NA,,2024-08-31 15:48:55
Saint Helena,Pound,AF,,2024-08-31 15:48:56
Saint Kitts and Nevis,Dollar,NA,,2024-08-31 15:48:56
Saint Lucia,Dollar,NA,,2024-08-31 15:48:56
Saint Martin,Euro,NA,Sint Maarten,2024-08-31 15:48:56
Saint Pierre and Miquelon,Euro,NA,,2024-08-31 15:48:56
Saint Vincent and the Grenadines,Dollar,NA,,2024-08-31 15:48:56
Samoa,Tala,OC,,2024-08-31 15:48:56
San Marino,Euro,EU,Italy,2024-08-31 15:48:57
Sao Tome and Principe,Dobra,AF,,2024-08-31 15:48:57
Saudi Arabia,Rial,AS,"Qatar, Oman, Iraq, Yemen, Jordan, United Arab Emirates, Kuwait",2024-08-31 15:48:57
Senegal,Franc,AF,"Guinea, Mauritania, Guinea-Bissau, Gambia, Mali",2024-08-31 15:48:58
Serbia,Dinar,EU,"Albania, Hungary, Macedonia, Romania, Croatia, Bosnia and Herzegovina, Bulgaria, Montenegro, Kosovo",2024-08-31 15:48:58
Serbia and Montenegro,Dinar,EU,"Albania, Hungary, Macedonia, Romania, Croatia, Bosnia and Herzegovina, Bulgaria",2024-08-31 15:48:59
Seychelles,Rupee,AF,,2024-08-31 15:48:59
Sierra Leone,Leone,AF,"Liberia, Guinea",2024-08-31 15:48:59
Singapore,Dollar,AS,,2024-08-31 15:48:59
Sint Maarten,Guilder,NA,Saint Martin,2024-08-31 15:49:00
Slovakia,Euro,EU,"Poland, Hungary, Czech Republic, Ukraine, Austria",2024-08-31 15:49:00
Slovenia,Euro,EU,"Hungary, Italy, Croatia, Austria",2024-08-31 15:49:00
Solomon Islands,Dollar,OC,,2024-08-31 15:49:00
Somalia,Shilling,AF,"Ethiopia, Kenya, Djibouti",2024-08-31 15:49:01
South Africa,Rand,AF,"Zimbabwe, Swaziland, Mozambique, Botswana, Namibia, Lesotho",2024-08-31 15:49:01
South Georgia and the South Sandwich Islands,Pound,AN,,2024-08-31 15:49:01
South Korea,Won,AS,North Korea,2024-08-31 15:49:01
South Sudan,Pound,AF,"Democratic Republic of the Congo, Central African Republic, Ethiopia, Kenya, Sudan, Uganda",2024-08-31 15:49:02
Spain,Euro,EU,"Andorra, Portugal, Gibraltar, France, Morocco",2024-08-31 15:49:02
Sri Lanka,Rupee,AS,,2024-08-31 15:49:03
Sudan,Pound,AF,"South Sudan, Chad, Egypt, Ethiopia, Eritrea, Libya, Central African Republic",2024-08-31 15:49:03
Suriname,Dollar,SA,"Guyana, Brazil, French Guiana",2024-08-31 15:49:03
Svalbard and Jan Mayen,Krone,EU,,2024-08-31 15:49:04
Swaziland,Lilangeni,AF,"South Africa, Mozambique",2024-08-31 15:49:04
Sweden,Krona,EU,"Norway, Finland",2024-08-31 15:49:04
Switzerland,Franc,EU,"Germany, Italy, Liechtenstein, France, Austria",2024-08-31 15:49:04
Syria,Pound,AS,"Iraq, Jordan, Israel, Turkey, Lebanon",2024-08-31 15:49:05
Taiwan,Dollar,AS,,2024-08-31 15:49:05
Tajikistan,Somoni,AS,"China, Afghanistan, Kyrgyzstan, Uzbekistan",2024-08-31 15:49:05
Tanzania,Shilling,AF,"Mozambique, Kenya, Democratic Republic of the Congo, Rwanda, Zambia, Burundi, Uganda, Malawi",2024-08-31 15:49:06
Thailand,Baht,AS,"Laos, Myanmar, Cambodia, Malaysia",2024-08-31 15:49:06
Togo,Franc,AF,"Benin, Ghana, Burkina Faso",2024-08-31 15:49:07
Tokelau,Dollar,OC,,2024-08-31 15:49:07
Tonga,Pa'anga,OC,,2024-08-31 15:49:07
Trinidad and Tobago,Dollar,NA,,2024-08-31 15:49:07
Tunisia,Dinar,AF,"Algeria, Libya",2024-08-31 15:49:07
Turkey,Lira,AS,"Syria, Georgia, Iraq, Iran, Greece, Armenia, Azerbaijan, Bulgaria",2024-08-31 15:49:08
Turkmenistan,Manat,AS,"Afghanistan, Iran, Uzbekistan, Kazakhstan",2024-08-31 15:49:08
Turks and Caicos Islands,Dollar,NA,,2024-08-31 15:49:08
Tuvalu,Dollar,OC,,2024-08-31 15:49:08
U.S. Virgin Islands,Dollar,NA,,2024-08-31 15:49:09
Uganda,Shilling,AF,"Tanzania, Kenya, South Sudan, Democratic Republic of the Congo, Rwanda",2024-08-31 15:49:09
Ukraine,Hryvnia,EU,"Poland, Moldova, Hungary, Slovakia, Belarus, Romania, Russia",2024-08-31 15:49:10
United Arab Emirates,Dirham,AS,"Saudi Arabia, Oman",2024-08-31 15:49:10
United Kingdom,Pound,EU,Ireland,2024-08-31 15:49:10
United States,Dollar,NA,"Canada, Mexico, Cuba",2024-08-31 15:49:10
United States Minor Outlying Islands,Dollar,OC,,2024-08-31 15:49:10
Uruguay,Peso,SA,"Brazil, Argentina",2024-08-31 15:49:11
Uzbekistan,Som,AS,"Turkmenistan, Afghanistan, Kyrgyzstan, Tajikistan, Kazakhstan",2024-08-31 15:49:11
Vanuatu,Vatu,OC,,2024-08-31 15:49:11
Vatican,Euro,EU,Italy,2024-08-31 15:49:11
Venezuela,Bolivar,SA,"Guyana, Brazil, Colombia",2024-08-31 15:49:12
Vietnam,Dong,AS,"China, Laos, Cambodia",2024-08-31 15:49:12
Wallis and Futuna,Franc,OC,,2024-08-31 15:49:12
Western Sahara,Dirham,AF,"Algeria, Mauritania, Morocco",2024-08-31 15:49:12
Yemen,Rial,AS,"Saudi Arabia, Oman",2024-08-31 15:49:12
Zambia,Kwacha,AF,"Zimbabwe, Tanzania, Mozambique, Democratic Republic of the Congo, Namibia, Malawi, Angola",2024-08-31 15:49:13
Zimbabwe,Dollar,AF,"South Africa, Mozambique, Botswana, Zambia",2024-08-31 15:49:13
